,request_id,slot,metric_filter_id,metric,n_reqs_1,n_reqs_2,n_reqs_3,program_id,subprogram_name,total_requests_tonight,exposure_time,n_usable,observable_tonight,Yrtf_val,scheduled,field_id
158,18,5816,3,0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
159,18,5817,1,0.390657993836658,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
160,18,5817,2,0.26200160190488403,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
161,18,5817,3,0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
162,18,5818,1,0.30947376456016434,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
163,18,5818,2,0.22156826958432407,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
164,18,5818,3,0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
165,18,5819,1,0.24583775363043558,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
166,18,5819,2,0.18773671395654618,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
167,18,5819,3,0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
168,18,5820,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
169,18,5820,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
170,18,5820,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
171,18,5821,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
172,18,5821,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
173,18,5821,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
174,18,5822,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
175,18,5822,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
176,18,5822,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
177,18,5823,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
178,18,5823,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
179,18,5823,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
180,18,5824,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
181,18,5824,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
182,18,5824,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
183,18,5825,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
184,18,5825,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
185,18,5825,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
186,18,5826,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
187,18,5826,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
188,18,5826,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
189,18,5827,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
190,18,5827,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
191,18,5827,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
192,18,5828,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
193,18,5828,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
194,18,5828,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
195,18,5829,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
196,18,5829,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
197,18,5829,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
198,18,5830,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
199,18,5830,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
200,18,5830,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
