# INDEX mount\_offsets\_ra\_arcsec\_total mount\_offsets\_dec\_arcsec\_total rotator\_field\_angle mount\_dec\_j2000\_deg mount\_ra\_j2000\_hours
 8618.9 0 60 -205.23200063679 46.827717497223 19.317078377468
 8619 0 60 -205.23200063679 46.827717497223 19.317078377468
 8619.1 0 60 -205.23200063679 46.827726354039 19.317078186675
 8619.2 0 60 -205.23200063679 46.827726354039 19.317078186675
 8619.3 0 60 -205.23204722315 46.827724690398 19.317078598281
 8619.4 0 60 -205.23197103204 46.82770523838 19.317078469498
 8619.5 0 60 -205.23197103204 46.82770523838 19.317078469498
 8619.6 0 60 -205.23149851524 46.827713369651 19.317078117811
 8619.7 0 60 -205.23149851524 46.827721511694 19.317078223532
 8619.8 0 60 -205.23149851524 46.827721511694 19.317078223532
 8619.9 0 60 -205.23199214896 46.827731023738 19.317078229409
 8620 0 60 -205.23199214896 46.827731023738 19.317078229409
 8620.1 0 60 -205.23187966517 46.827720664524 19.317078193843
 8620.2 0 60 -205.23187966517 46.82773300884 19.317078858389
 8620.3 0 60 -205.23187966517 46.82773300884 19.317078858389
 8620.4 0 60 -205.2318453986 46.827730865455 19.317078026341
 8620.5 0 60 -205.2318453986 46.827730865455 19.317078026341
 8620.6 0 60 -205.23178183224 46.827724618303 19.317078244435
 8620.7 0 60 -205.23198123568 46.827718553774 19.317078403246
 8620.8 0 60 -205.23198123568 46.827718553774 19.317078403246
 8620.9 0 60 -205.23198123568 46.827705402265 19.317078265188
 8621 0 60 -205.23198123568 46.827705402265 19.317078265188
 8621.1 0 60 -205.23198123568 46.827705402265 19.317078265188
 8621.2 0 60 -205.2318605398 46.827718731284 19.317078544218
 8621.3 0 60 -205.2318605398 46.827718731284 19.317078544218
 8621.4 0 60 -205.23200910363 46.827716925965 19.317077849713
 8621.5 0 60 -205.23200910363 46.827716925965 19.317077849713
 8621.6 0 60 -205.23212582727 46.827702404922 19.31707782846
 8621.7 0 60 -205.23212582727 46.827702404922 19.31707782846
 8621.8 0 60 -205.23169964056 46.827704171073 19.317078256591
 8621.9 0 60 -205.23169964056 46.827704171073 19.317078256591
 8622 0 60 -205.2315891624 46.827722886057 19.317078490634
 8622.1 0 60 -205.2315891624 46.827722886057 19.317078490634
 8622.2 0 60 -205.2315891624 46.827722886057 19.317078490634
 8622.3 0 60 -205.2315891624 46.827722886057 19.317078490634
 8622.4 0 60 -205.23192493073 46.827714049529 19.317079272928
 8622.5 0 60 -205.23192493073 46.827714049529 19.317079272928
 8622.6 0 60 -205.23192493073 46.827714049529 19.317079272928
 8622.7 0 60 -205.23196018061 46.827737678919 19.317077943881
