,obsHistID,requestID,propID,fieldID,fieldRA,fieldDec,filter,expDate,expMJD,night,visitTime,visitExpTime,FWHMgeom,FWHMeff,airmass,filtSkyBright,lst,altitude,azimuth,dist2Moon,solarElong,moonRA,moonDec,moonAlt,moonAZ,moonPhase,sunAlt,sunAz,slewDist,slewTime,fiveSigmaDepth,totalRequestsTonight,metricValue,subprogram
97,98,5765,1,7616,2.9726898114914437,0.6806784082777885,g,10385601,58239.20371597702,120,30.0,30.0,2.0086029098670997,2.0086029098670997,1.0071793658248709,18.904464721679688,3.063847197921322,1.4513252039971511,5.681221851600377,1.394372046508178,109.98791737302388,4.0808328918521095,-0.25705198764192905,0.28523262544354067,2.1076571159420525,98.4869634537746,-0.4655651456389141,5.4584130795040595,0.0855938395420187,2.5118578914552927,20.861363663168994,1,1.1428491870191586,all_sky
98,99,6392,1,8473,3.0228383568889967,0.6283185307179586,g,10385633,58239.20408992734,120,30.0,30.0,2.001806084296576,2.001806084296576,1.0015055232489922,18.906564712524414,3.0662032300314292,1.5159577119531433,5.66682857921224,1.3341666728534973,113.67808574478036,4.0808980438180456,-0.25708017154807594,0.28685726500388387,2.1092266585489394,98.4869634537746,-0.4670036735743901,5.460377645668619,0.06575196213466275,2.3093073405325413,20.862410565089228,1,1.1516783566561417,all_sky
99,100,5972,1,7898,2.997279231724016,0.6632251157578453,g,10385666,58239.204467895484,120,30.0,30.0,2.005568709046959,2.005568709046959,1.0046448965579566,18.906564712524414,3.0685845760292074,1.4745987352013619,5.700599522289716,1.3692211738821514,111.47549925728852,4.08096383213478,-0.25710864817046575,0.28849782455626327,2.1108156236965625,98.4869634537746,-0.4684549878759077,5.4623672128711105,0.04043530841489723,2.656447848305106,20.862240058828156,1,1.1391675513437307,all_sky
100,101,6181,1,8184,3.0211832611593303,0.6457718232379019,g,10385698,58239.20484792018,120,30.0,30.0,2.0031326337372524,2.0031326337372524,1.0026118908487027,18.906564712524414,3.070978879074477,1.498599117533818,5.754076132969656,1.3441694621806979,112.95177820707687,4.081029913974197,-0.25713726945884474,0.29014574710933166,2.112415838184883,98.4869634537746,-0.46991148194787696,5.46437156121166,0.025772700075362608,2.8341335505247116,20.862355998477554,1,1.1331843096045027,all_sky
101,102,5765,1,7617,2.9952101438957768,0.6806784082777885,g,10385730,58239.20521908968,120,30.0,30.0,2.007778334656892,2.007778334656892,1.0064903450444855,18.906564712524414,3.0733173909740503,1.4571703213511091,5.752439052919574,1.3793092964476736,110.74416425417627,4.08109439368663,-0.2571652138308631,0.2917537504238641,2.113981295016113,98.4869634537746,-0.4713313967668005,5.466333043364887,0.040462851164467815,2.069044968113303,20.86213828169046,1,1.1598703755308162,all_sky
102,103,5558,1,7340,2.993081016741269,0.6981317007977318,g,10385763,58239.205597864035,120,30.0,30.0,2.010246379035667,2.010246379035667,1.0085532226160119,18.904464721679688,3.075703816378857,1.440468282132449,5.803120068906892,1.3893741584833792,110.00990641287669,4.081160131143289,-0.2571937205364863,0.2933931444894322,2.115581413693511,98.4869634537746,-0.4727777028489002,5.468338634181288,0.017530438910459016,2.7261039949953556,20.86128971558658,1,1.1352513761137069,all_sky
103,104,5970,1,7899,3.0194812160727857,0.6632251157578453,g,10385795,58239.20596903354,120,30.0,30.0,2.0049542019937148,2.0049542019937148,1.0041319096291517,18.906564712524414,3.0780423282785194,1.4800468652854726,5.790942095478983,1.3542835731591967,112.22152185081083,4.081224486737906,-0.25722164484878257,0.2949980926419207,2.117151951033994,98.4869634537746,-0.474192312969421,5.470307808345913,0.04048793132749656,2.069044968113303,20.862266240804654,1,1.1600754379178828,all_sky
104,105,6387,1,8474,3.0444299995983433,0.6283185307179586,g,10385827,58239.20634020304,120,30.0,30.0,2.001592882643211,2.001592882643211,1.0013277545708206,18.906564712524414,3.0803808401781905,1.5192931788666564,5.76041305540891,1.3194770022430526,114.41563832687639,4.081288781002195,-0.257249559168028,0.2966015187109657,2.118725017214767,98.4869634537746,-0.4756042816495288,5.472280803235145,0.04019151943357301,2.069044966250658,20.862420142499992,1,1.1603221229198848,all_sky
105,106,6590,1,8767,3.0561071249588116,0.6108652381980153,g,10385860,58239.20671409635,120,30.0,30.0,2.000642486741059,2.000642486741059,1.0005354629473382,18.906564712524414,3.0827365131420437,1.5380786214151976,5.685913662979026,1.3024271415911532,115.49579652170527,4.081353485182943,-0.2572776681985958,0.29821516579793106,2.1203121936356197,98.4869634537746,-0.47702393063550597,5.474272148896097,0.019874238867630605,2.3043822087347507,20.862470054683715,1,1.1519486141326272,all_sky
106,107,5557,1,7339,2.970233086036336,0.6981317007977318,g,10385892,58239.2070924564,120,30.0,30.0,2.0126200398072647,2.0126200398072647,1.0105388045582504,18.810997009277344,3.0851203282987427,1.4262482447017122,5.655137676021812,1.4049419175904145,109.25313087859388,4.081418899214624,-0.25730610264340265,0.29984650421661874,2.1219209633449982,98.4869634537746,-0.47845778884813717,5.4762912497705525,0.11066938101462803,2.6903085093945265,20.82846964142637,1,1.0861136690458448,all_sky
