Galaxy,RA,Dec,ukirt_ref,vista_ref,ref_exists
NGC 4528,188.5253088247,11.3212593458,True,False,True
VCCA 041,188.4364111586,10.994396218399999,True,False,True
IC 3499,188.4374871492,10.9957312675,True,False,True
IC 3510,188.5617070465,11.071524883699999,True,False,True
IC 3483,188.29190700360002,11.347340767999999,True,False,True
IC 3490,188.30793423810002,10.928536188499999,True,False,True
VCC 1512,188.39440368180001,11.2619548421,True,False,True
IC 3578,189.16420833333,11.10186111111,True,False,True
VCC 1573,188.63566666666668,10.548166666666667,True,False,True
AGC220768,188.2892,11.346047588190306,True,False,True
VCC 1531,188.48355060830002,10.5780917468,True,False,True
IC 3548,188.9859518222,10.9362967704,True,False,True
NGC 3396,162.479472583,32.9908206235,True,False,True
NGC 3395,162.45879166667,32.98286111111,True,False,True
SDSS J104949.97+325848.3,162.45825,32.98011,True,False,True
SDSS J104949.74+325903.1,162.4573,32.98422,True,False,True
NGC 3413,162.83641666667,32.76638888889,True,False,True
IC 2604,162.35445833333,32.77272222222,True,False,True
IC 2608,162.56464764129998,32.7681711432,True,False,True
SDSS J105209.42+325630.3,163.03929,32.94178,True,False,True
2MASXi J1052228+323813,163.0953144082,32.637351924899995,True,False,True
2MASS J10521365+3257198,163.0572,32.95569,True,False,True
SDSS J104956.04+325927.8,162.4835200243,32.9910821013,True,False,True
SDSS J104919.70+324350.3,162.332125,32.73063888889,True,False,True
SDSS J105211.97+325705.2,163.0498999,32.951452,True,False,True
ARP 270,162.46916666667,32.98666666667,True,False,True
SDSS J104924.96+324605.1,162.35401,32.768101,True,False,True
NGC 3430A,163.18648135540002,32.87543240015,True,False,True
NGC 3585,168.32121416667,-26.75484,False,True,True
ESO 503- G 007,168.95295833333,-27.11066666667,False,True,True
2MASX J11142003-2654462,168.58345833333001,-26.912944444439997,False,True,True
NGC 6384,263.10125,7.06027777778,True,False,True
NGC 1421,55.622,-13.488027777780001,False,True,True
NGC 4725,192.610755,25.500805,True,False,True
2MASS J12514564+2546306,192.93997208333,25.77503388889,True,False,True
NGC 4747,192.94147436400002,25.7770699345,True,False,True
KUG 1249+263,192.9351966903,26.11050229171,True,False,True
NGC 4725 GROUP,192.94708333333,25.517777777779997,True,False,True
NGC 3338,160.53141666667,13.747,True,False,True
SDSS J104207.04+134500.8,160.52937,13.75025,True,False,True
CGCG 065-090,160.77270833333,13.510388888889999,True,False,True
SDSS J104226.50+135725.7,160.6104631771,13.957149313099999,True,False,True
2MASS J10414096+1349297,160.4207012698,13.8248767366,True,False,True
SDSS J104252.43+134427.8,160.71845833333,13.74108333333,True,False,True
AGC 200560,161.22798291948,13.908065849260002,True,False,True
AGC200543,160.7633,13.509054731653778,True,False,True
NGC 0584,22.83645833333,-6.86805555556,False,True,True
NGC 0596,23.217,-7.03183333333,False,True,True
NGC 0600,23.272083333330002,-7.311416666669999,False,True,True
NGC 0936,36.90608333333,-1.15627777778,True,True,True
SDSS J022739.98-010913.0,36.916588142600006,-1.1536282615,True,True,True
NGC 0941,37.11604166667,-1.15152777778,True,True,True
UGC 01945,37.05158333333,-1.34897222222,False,True,True
2MASX J02272519-0103334,36.8549999384,-1.0596037878,True,True,True
SDSS J022812.15-012045.9,37.05066399,-1.3460961,False,True,True
SDSS J022813.24-012028.2,37.055206,-1.3411811,False,True,True
NGC 3190,154.52346791667,21.832295,True,False,True
NGC 3185,154.410688245,21.6882499785,True,False,True
NGC 3187,154.44943714020002,21.873334718800002,True,False,True
SDSS J101806.65+214958.8,154.52771,21.833,True,False,True
UGC 05574,154.92870833333,22.45238888889,True,False,True
VV 307,154.56375,21.86305555556,True,False,True
NGC 7448,345.01495833333,15.98033333333,True,False,True
NGC 7454,345.277125,16.38836111111,True,False,True
NGC 1332,51.57188416667,-21.33521583333,False,True,True
ESO 548- G 021,51.89703414106,-21.228388707870003,False,True,True
NGC 1325A,51.202275,-21.33622694444,False,True,True
NGC 1331,51.61787291667,-21.35529694444,False,True,True
2MASX J03255262-2117204,51.46915108751001,-21.28912994385,False,True,True
MESSIER 106,184.7396025,47.30397305556,True,False,True
SDSS J122324.80+465945.3,185.85337,46.99592,True,False,True
SDSS J121855.34+471647.9,184.73091,47.28065,True,False,True
2MASS J12190141+4715248,184.75567,47.25694,True,False,True
SDSS J121933.21+472705.2,184.88839278919997,47.4514716417,True,False,True
SDSS J121811.04+465501.2,184.54614,46.91685,True,False,True
SDSS J121924.00+471022.5,184.85003,47.172564027140545,True,False,True
UGC 07356,184.789125,47.09097222222,True,False,True
MESSIER 101,210.80226708333,54.34895,True,False,True
NGC 5474,211.25670833333,53.66222222222,True,False,True
LEDA 4545422,211.24707,53.64403,True,False,True
NGC 5461,210.92165,54.3176,True,False,True
NGC 5471,211.1215,54.3962,True,False,True
NGC 5477,211.3887305841,54.4611523511,True,False,True
